Participante,Dialogo
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Perfecto, entonces tomamos nota también del tema del modelo dual como parte, efectivamente de las cosas que se deben promover yo creo que es urgente que efectivamente las universidades empecemos a eh tener aprendizajes en la práctica profesional y que sean reconocidos en las currículo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Sí, me ayudan con, tantito el micrófono porque si no…"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",(Se cortó el audio)
Integrante,"gracias hasta el 4 de julio tenemos, ¿verdad? "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","A los 18 segundos de que se apruebe lo vamos a hacer. Perfecto gracias, lo activamos, gracias"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Active el micro sitio digamos, pero sí. No sé si alguien más. Bueno entonces tomando estas notas de dos temas súper relevantes que es la vinculación con el el sector productivo y el modelo dual que quede claro que en la comisión número cuatro y la comisión número tres sean parte de sus agendas, de esta promoción de esos dos puntos que nos comentan aquí eh se incorporarían a esta propuesta de comisiones. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Entonces si no hay ninguna otra opinión pasamos al acuerdo para leerlo.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Acuerdo S.O.CONACES.16.5. El CONACES aprueba la propuesta de instalación de comisiones de trabajo del CONACES así como su mecanismo de integración.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Les pregunto si hay algún voto en contra de este acuerdo?
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",¿Abstenciones?
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Se aprueba por unanimidad.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, a continuación entramos al análisis del punto número seis del orden del día de entre las comisiones de trabajo que se acaban de aprobar en el punto anterior hay una que consideramos que es urgente instalar, concretamente la que ayudará a este órgano a sistematizar las propuestas, en su caso hagan caso y todos ustedes para enriquecer el documento base que ya está trabajando la SEP por conducto de la subsecretaría de Educación Superior para contar con el PRONES 2025-2030. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Hay que recordar que el PRONES es ni más ni menos una piedra angular que va a regir los siguientes años la hechura, el seguimiento y la evaluación de las políticas públicas  de educación superior de nuestro país por ello estamos poniéndole el mayor de los esmeros a su elaboración."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Me gustaría comentarles que la Ley General de Educación Superior menciona que el CONACES podrá presentar propuestas para el PRONES, por lo que requerimos de un mecanismo para que esto pueda suceder. Es por eso que en el punto anterior aprobamos aquí una comisión relativa a los trabajos del PRONES y también acabamos de acordar un mecanismo para la integración del conjunto de comisiones."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Sin embargo el factor de tiempo nos lleva a proponerles que esta comisión para el PRONES quede conformada desde esta misma sesión, porque la elaboración del programa al que estamos refiriéndonos se rige por la ley de planeación y estamos sujetos a los tiempos que la Secretaría de Hacienda y Crédito Público va fijando para la presentación del documento, cuya primera versión tiene que estar siendo remitida por la SEP el 11 de julio a la Secretaría de Hacienda."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","La semana pasada enviamos a todas y todos ustedes, también a las COEPES, la solicitud de que envíen a este secretariado técnico sus propuestas a partir de un documento base y de algunas indicaciones metodológicas muy sencillas."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Como se les mencionó en el correo electrónico, les agradeceremos que, si tienen propuestas para el PRONES, nos lo hagan llegar a más tardar el 3 de julio a las 12 del mediodía, porque el tiempo ya es apremiante. 3 de julio. Sí, a las 12 del mediodía. 3 de julio a las 12. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",(Se cortó el audio)
